"u","area_q025","area_q50","area_q975","area_MAP","u_from","u_to","land_use_change","time"
"crops_to_grass",336.309834214916,478.034467124577,607.134012498831,514.964356972732,"crops","grass","crops_to_grass",1951
"crops_to_other",3.17928002820219,41.8704245401137,127.419394518986,34.6352657850925,"crops","other","crops_to_other",1951
"crops_to_rough",2.37834153463846,52.1172850676971,135.721221386942,75.2818756870844,"crops","rough","crops_to_rough",1951
"crops_to_urban",4.75143628246959,73.6081817627218,188.020686684265,53.9572981688971,"crops","urban","crops_to_urban",1951
"crops_to_woods",4.64831954095497,73.9970372081114,186.473891486386,52.3787416744282,"crops","woods","crops_to_woods",1951
"grass_to_crops",384.801455861142,499.112800465294,631.54756093455,566.417159296715,"grass","crops","grass_to_crops",1951
"grass_to_other",1.31928323749262,27.1310570037163,100.375703841278,6.63148227908479,"grass","other","grass_to_other",1951
"grass_to_rough",9.05823626587077,76.8877864895754,192.84279838641,64.9682765385454,"grass","rough","grass_to_rough",1951
"grass_to_urban",8.08270768723368,103.003405152836,219.677318449272,136.542374867888,"grass","urban","grass_to_urban",1951
"grass_to_woods",9.15360885909068,119.666434338172,247.683637407668,112.305394179326,"grass","woods","grass_to_woods",1951
"other_to_crops",0.450769191586847,15.2755532381981,68.3072945264172,4.15394242512378,"other","crops","other_to_crops",1951
"other_to_grass",1.65337684423815,32.8435070152597,121.723705536185,19.861443884312,"other","grass","other_to_grass",1951
"other_to_rough",1.04905731216149,27.7757070277421,96.9625865282793,41.600149759434,"other","rough","other_to_rough",1951
"other_to_urban",1.64184085680991,31.3618006479161,104.364880725615,48.1969587840927,"other","urban","other_to_urban",1951
"other_to_woods",1.29347066872176,36.5462434900364,128.348923290806,20.3287130861276,"other","woods","other_to_woods",1951
"rough_to_crops",0.605430874315374,22.1593543715754,100.547528796079,22.7177613509582,"rough","crops","rough_to_crops",1951
"rough_to_grass",182.01386339446,299.557436581541,422.939916008628,320.383500057381,"rough","grass","rough_to_grass",1951
"rough_to_other",1.07954112585807,23.165210616579,104.451170268427,21.7713604518177,"rough","other","rough_to_other",1951
"rough_to_urban",2.42003531791612,46.9589031732654,130.131267076678,18.9124860969699,"rough","urban","rough_to_urban",1951
"rough_to_woods",13.4304293188397,96.8246101881018,212.93969453807,101.370711066827,"rough","woods","rough_to_woods",1951
"urban_to_crops",0.546864863524326,18.0613244345065,70.003644014486,19.7768650897349,"urban","crops","urban_to_crops",1951
"urban_to_grass",1.34645739310321,42.5497519082158,116.513389298372,32.8487216089549,"urban","grass","urban_to_grass",1951
"urban_to_other",0.99671542637776,17.9841391303808,75.8759888559881,11.7844876124479,"urban","other","urban_to_other",1951
"urban_to_rough",1.24658381646687,23.1337367896537,84.0729856017525,33.8726334116875,"urban","rough","urban_to_rough",1951
"urban_to_woods",2.07272686600247,29.9340128474878,90.5091858262575,6.33918979360668,"urban","woods","urban_to_woods",1951
"woods_to_crops",0.345117836457261,12.7927851221241,57.1294593782063,6.21388647633229,"woods","crops","woods_to_crops",1951
"woods_to_grass",0.958816640381874,20.8730694312719,79.1294737776318,2.10342786824717,"woods","grass","woods_to_grass",1951
"woods_to_other",0.496014107274638,11.6567021326433,50.930306661327,5.71633672439253,"woods","other","woods_to_other",1951
"woods_to_rough",0.519805739192373,15.94164352225,55.4112931056179,6.78579478201226,"woods","rough","woods_to_rough",1951
"woods_to_urban",0.753884675081169,13.42682612423,68.4604501171924,19.7878244175365,"woods","urban","woods_to_urban",1951
"crops_to_grass",298.648261678125,415.792833111474,557.998242399077,418.269740571304,"crops","grass","crops_to_grass",1952
"crops_to_other",2.48493562480861,41.2834886192865,117.820534038558,4.36928921021674,"crops","other","crops_to_other",1952
"crops_to_rough",5.19991907033865,58.3564950624557,154.091916420551,83.938085190262,"crops","rough","crops_to_rough",1952
"crops_to_urban",4.66194955328678,64.1578042932338,174.400247695279,146.299309934402,"crops","urban","crops_to_urban",1952
"crops_to_woods",5.23462344386056,69.7765007690763,206.056002867004,40.4467611066868,"crops","woods","crops_to_woods",1952
"grass_to_crops",449.836992744964,552.657969604903,664.895620350357,608.953028816949,"grass","crops","grass_to_crops",1952
"grass_to_other",1.16758750496642,36.4792591638342,110.553984053528,22.7620818432649,"grass","other","grass_to_other",1952
"grass_to_rough",22.2404026128104,126.375259773212,253.071070981764,163.898856241795,"grass","rough","grass_to_rough",1952
"grass_to_urban",14.8247887172026,134.030479150626,247.907954934717,77.3756795935979,"grass","urban","grass_to_urban",1952
"grass_to_woods",7.30536277783072,119.051218595673,261.035314224832,63.9556183040646,"grass","woods","grass_to_woods",1952
"other_to_crops",0.399598777091755,17.6288874166077,68.2747959399086,1.22890865026342,"other","crops","other_to_crops",1952
"other_to_grass",0.872783545913322,38.7762484488503,107.223072166227,16.4705897072548,"other","grass","other_to_grass",1952
"other_to_rough",0.822249991172616,26.1935157130687,103.990376418864,12.0916439611472,"other","rough","other_to_rough",1952
"other_to_urban",0.876237714696204,29.7587721468202,102.762873739306,28.672588605771,"other","urban","other_to_urban",1952
"other_to_woods",1.11976575304595,31.8661034905179,137.207489502719,38.8577981046373,"other","woods","other_to_woods",1952
"rough_to_crops",1.27927889281938,28.1810544681951,107.117048235139,18.6150331920207,"rough","crops","rough_to_crops",1952
"rough_to_grass",117.396818635703,241.158596755638,382.913547573838,224.582016817512,"rough","grass","rough_to_grass",1952
"rough_to_other",0.879351201697549,25.6649527485157,109.807821259353,64.5890989775682,"rough","other","rough_to_other",1952
"rough_to_urban",2.39358252459017,39.9317795634124,136.959507284187,7.62478942004867,"rough","urban","rough_to_urban",1952
"rough_to_woods",3.56129903868913,91.0592363366155,217.225652014617,171.95075536662,"rough","woods","rough_to_woods",1952
"urban_to_crops",1.02249598179956,22.8849155146748,82.9528934826717,29.3759181928403,"urban","crops","urban_to_crops",1952
"urban_to_grass",2.37789801903264,40.0744072649881,136.420245580607,41.9468979062993,"urban","grass","urban_to_grass",1952
"urban_to_other",0.549575407292822,20.3948482449116,68.5475640069044,5.75965910620894,"urban","other","urban_to_other",1952
"urban_to_rough",1.19922760073229,25.8546551206207,99.9653083583206,13.4994844022934,"urban","rough","urban_to_rough",1952
"urban_to_woods",2.1200820579647,35.540756651434,107.073876212387,19.2384257365107,"urban","woods","urban_to_woods",1952
"woods_to_crops",0.463721202761002,12.0198520221022,53.4046490191856,1.13881894225305,"woods","crops","woods_to_crops",1952
"woods_to_grass",0.789121430858887,19.040944063926,76.1473928907234,22.9176343749574,"woods","grass","woods_to_grass",1952
"woods_to_other",0.497975951784205,14.4243414315274,60.0938870861973,5.90327428066919,"woods","other","woods_to_other",1952
"woods_to_rough",1.83699459153565,18.7689487060265,69.6247244312134,34.9019681716757,"woods","rough","woods_to_rough",1952
"woods_to_urban",0.594473546657643,13.9709656015216,57.8713667546851,2.55825854751986,"woods","urban","woods_to_urban",1952
"crops_to_grass",281.872708310637,421.38511294813,556.046174980427,502.147664269289,"crops","grass","crops_to_grass",1953
"crops_to_other",1.96378366129892,40.5696931138472,131.801081901589,32.0929102905064,"crops","other","crops_to_other",1953
"crops_to_rough",2.17421476258076,34.5349397545422,123.582550531222,14.0891807761916,"crops","rough","crops_to_rough",1953
"crops_to_urban",4.58301237198577,82.7027189368348,210.945735658164,53.9624757210074,"crops","urban","crops_to_urban",1953
