"u","area_q025","area_q50","area_q975","area_MAP","time"
"crops",NA,NA,NA,NA,1950
"grass",NA,NA,NA,NA,1950
"other",NA,NA,NA,NA,1950
"rough",NA,NA,NA,NA,1950
"urban",NA,NA,NA,NA,1950
"woods",NA,NA,NA,NA,1950
"crops",-260.076792915488,-146.059277412837,-31.7611022298328,-111.93792364937,1951
"grass",-68.9663137371218,37.5207820955691,152.086600441674,3.29676323006868,1951
"other",-132.28025470673,-25.1498235655739,95.3739317325012,-53.6022750862547,1951
"rough",-388.180732788173,-281.43109437375,-180.248299922981,-262.64708884519,1951
"urban",24.3381075066893,137.529560368777,255.842975398265,172.775044818952,1951
"woods",176.505197142547,276.481218175727,376.278531278249,252.115479531795,1951
"crops",-120.373579793064,-21.0096976695215,91.3789646306957,-34.0114782185453,1952
"grass",-316.31957972576,-203.879936150774,-96.6590443181578,-212.758385422344,1952
"other",-124.673110698957,-4.68048380285662,96.7724146352048,6.06187438885432,1952
"rough",-299.898575954062,-180.748149714842,-81.7889902225885,-179.031655806596,1952
"urban",10.7657836984841,131.004766778742,259.45215721661,152.710240757187,1952
"woods",178.514575712197,278.598601514546,378.601840781683,267.029404301445,1952
"crops",-136.728794237834,-31.4636370349496,71.6159151106076,-28.3133052580237,1953
"grass",-242.781653459484,-131.473679007613,-2.34353651022553,-80.7740243478586,1953
"other",-73.5176663383464,43.3245306656848,164.127310091339,39.6530877853653,1953
"rough",-477.355794739098,-374.93297222987,-272.14514028979,-418.659659029736,1953
"urban",65.8296324175034,179.799617121233,299.56964380107,186.678972233067,1953
"woods",225.932827178328,309.418274442451,407.591241386215,301.414928617186,1953
"crops",-273.40882120812,-164.473115492077,-55.7627321432105,-127.151189590231,1954
"grass",-136.478944083442,-22.1145729458148,84.5491986416351,-28.642247402564,1954
"other",-116.003431625412,-7.78121868536553,104.006930942077,-4.26472230053577,1954
"rough",-364.374077543025,-251.109171918188,-135.185985084195,-289.569110239847,1954
"urban",31.1952032385327,146.475444948407,275.43548956691,151.159969358026,1954
"woods",203.831326485286,298.111456498307,406.133923214302,298.467300175151,1954
"crops",-298.550698799785,-181.489059233998,-72.3820534727645,-249.144922283144,1955
"grass",-123.002665996295,-2.30238818393599,111.299675102659,16.1623888194612,1955
"other",-118.690866859425,-14.0045198564649,85.726071235517,-40.2264571777124,1955
"rough",-332.347997880007,-219.177564128733,-107.380021689185,-220.664848220213,1955
"urban",15.626074699499,132.053221988069,260.183415259055,200.031146679172,1955
"woods",188.497702271408,289.435733388697,381.594233339911,293.842692182437,1955
"crops",-27.3303627311776,79.4875361734785,186.911682036649,63.708683561704,1956
"grass",-383.606962066522,-264.466970111887,-153.923176365974,-294.696929144762,1956
"other",-92.0137816458905,25.6103740104387,137.489010685414,6.66220886085276,1956
"rough",-419.133612572307,-314.256745690388,-200.72143262456,-302.084443778405,1956
"urban",45.1268818441551,165.536178853762,285.691961190641,169.568074354705,1956
"woods",213.044420166477,312.350377257585,406.150091555385,356.842406145906,1956
"crops",-250.880474964357,-142.077002351452,-31.8576601992049,-180.758019770705,1957
"grass",-288.411688906317,-184.036604283587,-71.9817697768348,-164.424064112839,1957
"other",-122.111029005864,-0.897139570127763,103.428455184271,15.5064774323185,1957
"rough",-224.819572210054,-114.153992786425,-3.82042782537233,-117.592116792199,1957
"urban",16.4110562716575,137.916023514664,268.791789208021,94.9908938280741,1957
"woods",203.129817204568,301.442499958449,398.810008092137,352.276829415351,1957
"crops",-230.536048260085,-114.121705788731,-2.29465584533583,-150.564975037568,1958
"grass",-298.105667380737,-184.97019720481,-72.5512705799728,-207.49166167077,1958
"other",-121.029292859792,-12.4179974748971,111.711067511911,70.0526863425263,1958
"rough",-235.035008859597,-122.3737127967,-12.8825491953321,-152.985234409584,1958
"urban",18.2675820736168,138.220269369439,254.153052992704,99.1038277127392,1958
"woods",198.606806148042,297.234647241821,386.66420768615,341.885357062657,1958
"crops",-222.181572057797,-108.501257694623,9.52303806677714,-113.99885102643,1959
"grass",-344.052159006462,-240.74917206998,-126.291509541045,-178.915514488507,1959
"other",-92.3973649518131,7.84657655297806,122.738525900804,14.2498499611886,1959
"rough",-242.222826870654,-138.763930832159,-28.665061446973,-121.734509147444,1959
"urban",38.8646855390644,158.49291714773,281.645361180591,89.2173974397663,1959
"woods",216.995124506432,317.775468654536,404.748744012426,311.181627261426,1959
"crops",-48.152762026304,54.2328842261663,165.964984742262,20.5552893765931,1960
"grass",-380.233604249707,-274.437159808159,-166.89305059776,-261.737872619838,1960
"other",-112.567840124213,0.243225233335608,94.9848536420084,29.1206757494292,1960
"rough",-328.016171573338,-213.886384855548,-109.77094541892,-227.481675831996,1960
"urban",26.5241178065129,136.616791662027,249.889101189357,151.766727973837,1960
"woods",213.70394439293,299.861305689565,392.371689290703,287.776855351975,1960
"crops",238.284733261215,357.477307503337,462.005574685004,353.712946882237,1961
"grass",-762.712651244187,-646.053019200306,-526.485389314641,-661.331271683222,1961
"other",-122.719334026014,-11.7286132363333,101.669975063857,-16.6953080342892,1961
"rough",-256.478138727303,-141.093519087537,-35.5166405658359,-144.174383474771,1961
"urban",9.5193032296316,142.835944751393,260.570040685613,156.081561942909,1961
"woods",208.950418124218,301.212779335841,402.47676217612,312.406454367136,1961
"crops",207.475154276566,305.364173261708,409.887504679598,311.825507029336,1962
"grass",-482.863902338512,-360.581708920031,-258.719859499209,-367.694354595601,1962
"other",-144.345068791401,-25.3088612182779,79.6259659351223,-6.65993054650275,1962
"rough",-417.593452374343,-319.429772851083,-203.654381515614,-344.32024722837,1962
"urban",2.09760938187843,119.106146022937,230.452861295312,94.6540101188892,1962
"woods",181.886198595082,283.769258385865,396.234523955506,312.195015222248,1962
"crops",236.823030167321,353.384111554116,465.710620249267,303.9448670708,1963
"grass",-529.426190293652,-403.575371299492,-295.893205628229,-444.408608451601,1963
"other",-130.505633117347,-28.0135713516263,72.5435952169198,-30.7189461905958,1963
"rough",-406.220866900882,-304.353648083944,-177.489042266417,-248.389327875743,1963
"urban",-17.6578876023439,107.285990232412,223.401635928692,125.931279474651,1963
"woods",184.958492501851,286.400711936375,376.10054820339,293.640735972489,1963
"crops",208.851488623581,321.746591734538,433.047435022812,302.975738957326,1964
"grass",-406.097749455067,-295.595167668611,-178.357706861933,-293.11997707024,1964
"other",-146.322050646777,-22.7140441303758,74.867408721049,-57.4307644306969,1964
"rough",-506.621998950671,-402.795879766401,-290.175990909273,-411.359895494981,1964
"urban",-4.19979680913305,109.885377312996,228.931582789363,161.316334822111,1964
"woods",200.23489380838,291.572560073564,381.982870640778,297.618563216481,1964
"crops",245.221759140604,356.589995149149,468.855176247326,363.376398796234,1965
"grass",-529.860818196577,-402.95014924951,-290.678279618458,-392.924505430141,1965
"other",-131.701685106402,-17.5481782172556,96.8097162618042,-19.3455234826334,1965
"rough",-458.869290812064,-345.215157115287,-236.337575230665,-392.048908777218,1965
"urban",-7.38415512353732,113.067915070721,241.516286125722,132.491097684667,1965
"woods",198.385441387175,300.390371505378,395.200025381679,308.451441209092,1965
"crops",183.626677337168,290.22042017576,396.847157841877,280.645457341083,1966
"grass",-404.936133819464,-291.223867637442,-177.977193358292,-247.974445227165,1966
"other",-153.09687664595,-31.053679739857,81.3612834240911,-42.0084658716604,1966
"rough",-473.870047560981,-366.229303013117,-267.767414078004,-377.970358787358,1966
"urban",-18.383743439839,108.152732420314,243.369306028544,83.1575773088075,1966
"woods",186.567094597918,287.39221905731,384.318070069161,304.150235236292,1966
"crops",229.117371437362,333.654718453305,448.753183580228,308.587433986155,1967
"grass",-506.234146131216,-394.611636779891,-286.127779630079,-377.649335907119,1967
"other",-123.829285014155,-13.2627538618387,87.6451061024267,-20.4317220488828,1967
"rough",-443.747297468766,-337.791987373324,-231.873237739354,-364.928969158972,1967
"urban",1.1482246169817,124.395945738143,250.60244288249,169.941112060375,1967
"woods",200.035952196409,290.204322409514,382.782872306128,284.481481068444,1967
"crops",196.284234909151,294.882152892587,394.542244216884,294.82307791308,1968
"grass",-505.144767599608,-399.996273301071,-290.893039557105,-400.459576784314,1968
"other",-110.027445793144,-15.2784217473952,80.8565721711482,-60.3208971372587,1968
"rough",-411.022761733821,-299.809300317661,-188.361603254108,-275.068120163921,1968
"urban",14.6427638163869,132.747408847295,251.32624568055,132.211352489462,1968
"woods",194.385137787948,289.261470930884,393.138613824266,308.814163682953,1968
