"u","area_q025","area_q50","area_q975","area_MAP","time"
"crops",NA,NA,NA,NA,1950
"grass",NA,NA,NA,NA,1950
"other",NA,NA,NA,NA,1950
"rough",NA,NA,NA,NA,1950
"urban",NA,NA,NA,NA,1950
"woods",NA,NA,NA,NA,1950
"crops",619.046210772071,735.120682995294,863.036923279956,731.217538288235,1951
"grass",722.566701068852,849.394677046196,967.156498947936,886.864687161559,1951
"other",82.1972082275238,173.185625386842,278.020443755884,134.14120793909,1951
"rough",399.593815023584,506.21247254402,624.273672804679,485.155819023954,1951
"urban",75.3906124811087,155.800249704997,257.842753610908,104.621897516432,1951
"woods",40.2316524296071,94.8167002540749,169.693610911886,40.6072702685207,1951
"crops",566.405746516566,671.804581179469,813.623757189371,693.323186012872,1952
"grass",857.047088730742,982.182299011586,1110.06962904487,936.945264799672,1952
"other",71.7139749364231,172.511462460482,272.033548285982,97.3215290290737,1952
"rough",355.45883663128,460.381283929418,588.993170628752,487.361693773769,1952
"urban",88.7858962435402,169.643983083983,286.052380078167,109.820385344153,1952
"woods",45.24996559788,97.9693760199131,171.550204072662,67.4199543170753,1952
"crops",562.229396805981,677.996686852999,803.898760334159,655.689999459066,1953
"grass",823.360261193503,950.680705055562,1091.9580166158,880.300341215745,1953
"other",59.0029031316329,133.520500249883,250.552684606219,61.3525027780843,1953
"rough",464.975723834005,569.032482414053,687.765794073851,508.734714339566,1953
"urban",61.6536090448852,138.989141183686,243.066505836462,102.114448739151,1953
"woods",40.3918305476728,93.8253410067185,162.800438484945,45.3584179461225,1953
"crops",643.973356212765,762.27954910709,875.447584156746,722.877265957642,1954
"grass",751.768265179613,884.9474362292,1016.71703962503,880.977910876433,1954
"other",88.5613725294623,158.453451521639,254.700859919358,137.31682304851,1954
"rough",360.447085238981,499.619514129824,616.135078148752,490.035680559903,1954
"urban",75.7300445689262,161.550935577129,268.658796370323,74.2622381400256,1954
"woods",39.3357481129921,96.732716613787,163.941061157731,82.2537706960456,1954
"crops",636.769503844436,764.52981631222,877.715794354407,787.39994771883,1955
"grass",738.170864458283,865.303521169435,998.097407420318,853.00782465185,1955
"other",83.2403668208226,175.356322382711,283.727957092836,108.517461291047,1955
"rough",357.049743832833,490.673865889734,611.144125915637,439.44214344175,1955
"urban",70.9983489884985,163.123940012356,272.483538668363,113.743046506588,1955
"woods",51.3974776646563,101.951443480395,196.575997883041,106.193319645477,1955
"crops",525.188852250833,630.801267584815,751.480821792364,553.566597672517,1956
"grass",891.778046698284,1022.42888237351,1139.4053321771,1012.81588237956,1956
"other",76.0201297590595,145.080535627409,239.009713263402,106.427932206464,1956
"rough",411.065788529705,530.979007366324,656.166881737926,532.453188265126,1956
"urban",69.2499548558277,162.416469755594,267.163821160877,162.916694388831,1956
"woods",40.2145941312226,97.7399736680734,166.769423115268,38.677447629862,1956
"crops",642.254652397473,753.435219047253,873.683246440563,750.95201208619,1957
"grass",829.507272370738,962.173950379426,1104.9966260013,863.521907936793,1957
"other",79.2825135559074,156.967247451255,271.966915973184,110.425959717739,1957
"rough",304.262618833997,428.243477974837,550.12149423289,359.828864195492,1957
"urban",88.1195120660141,167.103224564274,258.889375929156,129.472930378904,1957
"woods",51.4003782010891,103.854329291844,177.402237284806,38.4784685460731,1957
"crops",627.974973176256,740.447716165009,863.26234790253,727.674326504724,1958
"grass",834.550833543149,962.134465455369,1105.29793561585,1000.4608187149,1958
"other",85.9805286788813,170.120326025922,272.28448334185,92.8782817313145,1958
"rough",305.56067250053,435.471949535868,569.157673393525,419.378285500462,1958
"urban",72.9834680589666,162.640376364315,256.788965308338,129.204040239758,1958
"woods",49.7206651025949,106.923389099268,180.565605033734,74.9890970135061,1958
"crops",604.687478443535,722.852295938241,853.402379286249,770.502416882586,1959
"grass",859.575179703933,988.498265602553,1111.58956260605,924.411973209407,1959
"other",69.228338695124,161.077492347194,255.519352167344,66.0380656163949,1959
"rough",322.465598271898,436.457526874958,557.000475846263,358.321160758358,1959
"urban",69.0154854766557,151.454726060214,270.011533874366,125.530465790737,1959
"woods",39.0416983760958,101.52311982061,170.071560008617,37.4956136618212,1959
"crops",516.944113699185,639.794511157094,765.526047760424,630.449069737282,1960
"grass",881.261140853156,1015.08908929902,1153.1826876745,1000.16365693795,1960
"other",75.3601183710695,146.202085370362,250.840621221367,78.5225267815692,1960
"rough",357.420466734774,472.632545236663,617.754218155223,493.101521596486,1960
"urban",74.1891209110826,154.534261313774,255.216124361939,157.477687668908,1960
"woods",51.8306169198477,102.036567338045,174.818079867231,75.7748345734737,1960
"crops",343.662027792283,468.576607397571,598.472543700386,412.997791521453,1961
"grass",1079.92056613611,1214.68729369107,1364.45130535605,1255.37246697357,1961
"other",87.4495958215898,171.828705340882,281.133493868028,102.28993254155,1961
"rough",311.640061852485,433.471161104733,557.460311802309,407.051034319175,1961
"urban",81.3560205854564,163.054735960205,263.228392169534,159.525075034267,1961
"woods",47.4027902224122,106.122893158949,173.360701162746,79.2596658079961,1961
"crops",373.15814968052,498.097885081255,617.004987927602,509.322920034521,1962
"grass",931.959381074809,1056.51581972163,1190.21706083506,1010.23433294127,1962
"other",88.0501785243832,182.961484477036,284.897515550205,155.111766566623,1962
"rough",423.505495042479,528.228957465376,650.804101113497,482.846434533873,1962
"urban",71.2553484569689,173.914431019476,289.006127110889,123.76017368036,1962
"woods",42.9329790488902,112.218080305112,186.602428914425,66.4012083125514,1962
"crops",380.922509191654,483.086112644857,619.051451472086,487.519511398113,1963
"grass",943.50160561045,1086.6602017071,1224.05554359004,1097.70888814491,1963
"other",88.1896454035137,179.236310346271,283.945006660631,138.924236191058,1963
"rough",413.583022339081,527.555517022073,645.301848924777,471.473317705529,1963
"urban",98.3299573867854,180.179503533552,278.143186788898,120.342545349927,1963
"woods",42.130148290628,102.392631188502,185.201988593605,56.7008061318328,1963
"crops",374.723787531505,506.629404691885,627.669087890904,452.062443348896,1964
"grass",876.412553744437,1027.69670172991,1166.388636512,1055.22279702619,1964
"other",94.7240124956514,177.988569308414,285.141735289656,152.112114384275,1964
"rough",483.930730612205,587.282130193498,686.428242925237,550.248844083659,1964
"urban",92.1483521926496,172.259526377797,287.858658655886,144.009061552917,1964
"woods",43.0818582380288,110.415093264153,180.442337757472,43.568775629198,1964
"crops",369.457376664849,480.748800509191,603.625873851232,402.445069978588,1965
"grass",960.680518941102,1090.75925731089,1228.77591538055,1061.58746106332,1965
"other",82.0288252591127,167.020201827155,266.070216519532,86.3410525800454,1965
"rough",445.623780052275,554.092339371941,673.186956139749,543.029882711939,1965
"urban",86.823833402054,170.139367457557,283.280530581784,139.86611096069,1965
"woods",51.540323269779,104.881446128446,193.191118889041,88.7901644194884,1965
"crops",387.883572085779,516.330444575197,617.55632656977,506.634201312484,1966
"grass",887.064439308418,1026.67491117102,1149.61865215008,1022.65276643814,1966
"other",87.7420257047545,179.464450887082,274.749289024519,156.37699434521,1966
"rough",437.721080223556,562.071584893483,686.834397865436,532.339140929731,1966
"urban",78.7111303379225,170.170618160189,282.236746173448,112.343588110309,1966
"woods",45.9534113238786,103.644194697719,183.120704400192,62.9685734793772,1966
"crops",375.242553732298,489.072165237381,599.939403872671,445.445433517066,1967
"grass",954.946083962276,1088.08748195173,1215.38293403358,1072.80505688293,1967
"other",76.83627283663,163.438485523595,265.061355332082,155.476272471441,1967
"rough",436.077671385648,557.656055325538,677.594393010836,507.358952582627,1967
"urban",70.9023447307575,161.911019764962,290.915699801508,54.6119377277644,1967
"woods",47.9931498341008,107.469655570891,187.237374927517,89.5786568611755,1967
"crops",397.844273423035,510.913290333415,624.759732582573,462.529787211229,1968
"grass",962.068931871982,1087.94317210908,1207.38699162879,1026.02283466534,1968
"other",90.5612886312602,167.665662564531,277.74567042155,125.95716799157,1968
"rough",407.965144110648,527.59570208127,655.204191940116,519.391660404861,1968
"urban",79.9136801109638,157.683198263435,253.388129321389,177.576235630842,1968
"woods",50.1229255801435,99.2055594496198,170.850592566821,78.9013890940757,1968
"crops",420.193836945198,532.936738014446,639.549907394927,507.477588415295,1969
"grass",938.274982496383,1070.52548529542,1188.05380786795,1073.03985591374,1969
"other",89.5868549513008,179.901048438891,282.109557147134,128.466134283508,1969
"rough",382.016395399713,501.927957868064,607.604848264212,402.547722919747,1969
"urban",76.2943059974537,169.064556562531,287.287488209224,116.559564123908,1969
